Question,Answer
x^2 + 11 = 75,8
14 = 8 + x/5,30
-20 = 10 - 5x,6
118 = 11x - 3,11
10x - 7 = 13,2
31 = 3x + 1,10
48 = 11x - 7,5
8 = 4 + x/10,40
15 = 8 + x/8,56
-4 = x/6 - 8,24
11x + 4 = 26,2
54 = 11x - 1,5
18 = 10 + x/8,64
57 = 5x + 2,11
x/12 - 3 = 5,96
15 = x/3 + 8,21
7 + 9x = 34,3
x/9 + 1 = 3,18
6 + 2x = 26,10
6 = x/4 - 1,28
11 + 11x = 88,7
x^2 + 3 = 67,8
16 = 9 + x/9,63
7 - 12x = -65,6
x + 7 = 16,9
1 - 6x = -29,5
17 = 9x - 10,3
4 = x/10 - 7,110
x^2 + 3 = 7,2
8 + x/3 = 14,18
-39 = 9 - 8x,6
23 = 11 + 6x,2
19 = x^2 + 3,4
65 = x^2 + 1,8
61 = x^2 + 12,7
15 = 10 + x/5,25
12 = 4 + x/3,24
x^2 + 8 = 17,3
6 = x/10 + 1,50
8 + x/9 = 20,108